忘れられた島,エンシェントガーディアン,ガイアの激怒,クロノスの恐怖,ヒュペリオンの絶望,タイタンの憤怒,古代岩石のマント,古代の魔物のマント,古代岩石のグローブ,古代の魔物のグローブ,古代岩石のブーツ,古代の魔物のブーツ,古代岩石のゲートル,古代の魔物のゲートル,古代のオーラ,古代の技術書,古代の精霊の水晶,古代の魔法書,古代の闇精霊の水晶,古代のドラゴンナイトの書板,古代の記憶の水晶,古代のウォリアーの印章,,,,,,,,,,,,
忘れられた島,ハーピークイーン,古代人の錬金術スクロール,祝福された古代人の錬金術スクロール,古代人の呪術スクロール,祝福された古代人の呪術スクロール,ハルパスの執念,永遠の光,古代の精霊の水晶,魂を失った弓,,,,,,,,,,,,,,,,,,,,,,,,
忘れられた島,グレートミノタウルス,古代人の錬金術スクロール,祝福された古代人の錬金術スクロール,古代人の呪術スクロール,祝福された古代人の呪術スクロール,ハルパスの執念,永遠の光,古代のドラゴンナイトの書板,魂を失ったチェーンソード,,,,,,,,,,,,,,,,,,,,,,,,
忘れられた島,コカトリスキング,古代人の錬金術スクロール,祝福された古代人の錬金術スクロール,古代人の呪術スクロール,祝福された古代人の呪術スクロール,ハルパスの執念,永遠の光,古代の記憶の水晶,魂を失ったキーリンク,,,,,,,,,,,,,,,,,,,,,,,,
忘れられた島,オーガキング,古代人の錬金術スクロール,祝福された古代人の錬金術スクロール,古代人の呪術スクロール,祝福された古代人の呪術スクロール,ハルパスの執念,永遠の光,古代のウォリアーの印章,魂を失った斧,,,,,,,,,,,,,,,,,,,,,,,,
忘れられた島,ドレイクキング,古代人の錬金術スクロール,祝福された古代人の錬金術スクロール,古代人の呪術スクロール,祝福された古代人の呪術スクロール,ハルパスの執念,永遠の光,古代の技術書,,,,,,,,,,,,,,,,,,,,,,,,,
忘れられた島,裏切り者クロレンス,封印された歴史書1章,封印された歴史書2章,封印された歴史書3章,封印された歴史書4章,封印された歴史書5章,封印された歴史書6章,封印された歴史書7章,封印された歴史書8章,ダージマジックパウダー,,,,,,,,,,,,,,,,,,,,,,,
忘れられた島,カエル,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,エヴァの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,,,,,,,,,,,,,,,,,,,
忘れられた島,アイドロンFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,,,,,,,,,,,,,,,,,,,
忘れられた島,インプFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,,,,,,,,,,,,,,,,,,,
忘れられた島,コカトリスFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,エヴァの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,,,,,,,,,,,,,,,,,
忘れられた島,オーガFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,,,,,,,,,,,,,,,,,
忘れられた島,アリゲーターFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,エヴァの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,永遠の光,,,,,,,,,,,,,,,,,,,
忘れられた島,インプエルダーFI,グリーンポーション,強化グリーンポーション,ブレイブポーション,エルヴンワッフル,ウィズダムポーション,ブルーポーション,マーブルの遺産,ハルパスの執念,ブランクスクロールlv1,ブランクスクロールlv2,ブランクスクロールlv4,ブランクスクロールlv5,古代人の錬金術スクロール,古代人の呪術スクロール,永遠の光,,,,,,,,,,,,,,,,,
